index,name,x,y
0,Downtown,-123.121405,49.280311
1,HastingsClark,-123.077084,49.281288
2,BoundaryHastings,-123.023351,49.281132
3,MainTerminal,-123.099939,49.272719
4,Clark1st,-123.077314,49.269678
5,Boundary1st,-123.023421,49.269459
6,UBC,-123.252496,49.264878
7,GranvilleBroadway,-123.138557,49.26365
8,OakBroadway,-123.126579,49.263357
9,CambieBroadway,-123.114716,49.263235
10,KingswayBroadway,-123.09939,49.262858
11,BroadwayClark,-123.077599,49.262378
12,LougheedBoundary,-123.02343,49.265659
13,KingswayKnight,-123.07601,49.25001
14,Marine41st,-123.196651,49.234806
15,Granville41st,-123.139608,49.234332
16,Oak41st,-123.128054,49.234009
17,Cambie41st,-123.116058,49.23352
18,Knight41st,-123.077128,49.232768
19,KingswayBoundary,-123.023402,49.232366
20,MarineGranville,-123.140394,49.205333
21,MarineOak,-123.130434,49.204675
22,MarineCambie,-123.11706,49.210233
23,KnightMarine,-123.077432,49.211766
24,MarineBoundary,-123.023368,49.205501
